"";"ID";"Baum-Nr";"Fall";"Fallnummer";"Z_Oeffnung";"Z_laeng";"Z_breit";"DM_Spitz";"DM_max";"DM_mit";"Woel_aufg";"Woel_flach";"Verh_LB";"Asym";"Apo_L";"Apo_B";"Apo_S";"Entf";"Verh_LABA";"Verh_LASA";"Stiel_L";"Baumseite";"Fallgruppe";"Bart";"Region";"Population";"Hakigkeit"
"373";"R2_Pmu_20.5";34;"R./P.m.ssp.u. 20";"R./P.u. 20";"o";31,34;33,4;2,13;35,38;18,755;53;45;0,938323353293413;1,17777777777778;4,02;7,76;3,04;3,08;0,518041237113402;1,32236842105263;4,31;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,766169154228856
"374";"R2_Pmu_20.6";34;"R./P.m.ssp.u. 20";"R./P.u. 20";"o";33,32;34,38;1,45;35;18,225;61;40;0,969168121000582;1,525;3,33;6,83;3,13;3,51;0,487554904831625;1,06389776357827;3,49;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";1,05405405405405
"375";"R2_Pmu_20.7";34;"R./P.m.ssp.u. 20";"R./P.u. 20";"o";36,44;36,49;3,26;37,74;20,5;60;50;0,998629761578515;1,2;4,58;7,64;3,69;3,27;0,599476439790576;1,24119241192412;5,05;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,713973799126637
"376";"R2_Pmu_20.8";34;"R./P.m.ssp.u. 20";"R./P.u. 20";"o";35,92;31,16;2,99;33,57;18,28;56;43;1,15275994865212;1,30232558139535;5,12;7,74;2,7;3,44;0,661498708010336;1,8962962962963;4,1;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,671875
"377";"R2_Pmu_3.1";17;"R./P.m.ssp.u. 3";"R./P.u. 3";"o";37,29;28,5;3,72;28,64;16,18;55;40;1,30842105263158;1,375;5,22;6,65;2,89;3,15;0,784962406015038;1,80622837370242;2,8;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,603448275862069
"378";"R2_Pmu_3.2";17;"R./P.m.ssp.u. 3";"R./P.u. 3";"o";33,7;28,9;3,81;29,97;16,89;55;43;1,16608996539792;1,27906976744186;4,92;6,81;2,73;3,72;0,722466960352423;1,8021978021978;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,75609756097561
"379";"R2_Pmu_3.3";17;"R./P.m.ssp.u. 3";"R./P.u. 3";"o";31,4;28,5;2,73;28,59;15,66;55;43;1,10175438596491;1,27906976744186;5,02;6,77;2,54;4,02;0,741506646971935;1,97637795275591;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,800796812749004
"380";"R2_Pmu_3.4";17;"R./P.m.ssp.u. 3";"R./P.u. 3";"o";31,48;30;3,08;30,71;16,895;55;40;1,04933333333333;1,375;4,24;5,59;2,49;4,83;0,758497316636852;1,70281124497992;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";1,13915094339623
"381";"R2_Pmu_3.5";17;"R./P.m.ssp.u. 3";"R./P.u. 3";"c";28,19;28;2,1;28,8;15,45;50;45;1,00678571428571;1,11111111111111;6,01;4,92;2,13;3,91;1,22154471544715;2,82159624413146;3,92;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,650582362728785
"382";"R2_Pmu_3.6";17;"R./P.m.ssp.u. 3";"R./P.u. 3";"o";34,47;40,56;3,46;42,56;23,01;70;45;0,849852071005917;1,55555555555556;6,24;6,2;2,75;6,58;1,00645161290323;2,26909090909091;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";1,05448717948718
